Student ID,English,Math,Interview,Final Score,Pass/Fail
GED202402_01,38,45,70,50.05,Fail
GED202402_02,0,0,0,0,Fail
GED202402_03,0,0,0,0,Fail
GED202402_04,0,0,0,0,Fail
GED202402_05,0,0,0,0,Fail
GED202402_06,36,80,0,40.6,Fail
GED202402_07,70,60,66.7,65.5,Pass
GED202402_08,54,80,70,67.9,Pass
GED202402_09,58,50,76.7,60.8,Pass
GED202402_10,0,0,0,0,Fail
GED202402_11,54,55,40,50.15,Fail
GED202402_12,46,60,63.3,56.1,Fail
GED202402_13,0,0,0,0,Fail
GED202402_14,56,45,86.7,61.35,Pass
GED202402_15,80,90,90,86.5,Pass
GED202402_16,0,0,0,0,Fail
GED202402_17,44,40,76.7,52.4,Fail
GED202402_18,74,60,70,67.9,Pass
GED202402_19,48,80,76.7,67.8,Pass
GED202402_20,0,0,0,0,Fail
GED202402_21,0,0,0,0,Fail
GED202402_22,0,0,0,0,Fail
GED202402_23,0,0,0,0,Fail
GED202402_24,58,70,56.7,61.8,Pass
GED202402_25,80,90,76.7,82.5,Pass
GED202402_26,0,0,0,0,Fail
GED202402_27,72,85,76.7,77.95,Pass
GED202402_28,66,60,63.3,63.1,Pass
GED202402_29,0,70,103.3,55.5,Fail
GED202402_30,0,0,0,0,Fail
GED202402_31,0,0,0,0,Fail
GED202402_32,0,0,0,0,Fail
GED202402_33,0,0,0,0,Fail
GED202402_34,0,0,0,0,Fail
GED202402_35,0,0,0,0,Fail
GED202402_36,54,60,80,63.9,Pass
GED202402_37,0,0,0,0,Fail
GED202402_38,66,75,63.3,68.35,Pass
GED202402_39,40,80,90,69,Pass
GED202402_40,0,0,0,0,Fail
GED202402_41,32,75,46.7,51.45,Fail
GED202402_42,0,0,0,0,Fail
GED202402_43,40,75,46.7,54.25,Fail
GED202402_44,40,50,80,55.5,Fail
GED202402_45,0,0,0,0,Fail
GED202402_46,64,75,20,54.65,Fail
GED202402_47,0,0,0,0,Fail
GED202402_48,50,100,63.3,71.5,Pass
GED202402_49,74,100,63.3,79.9,Pass
GED202402_50,0,0,0,0,Fail
GED202402_51,0,0,0,0,Fail
GED202402_52,58,60,30,50.3,Fail
GED202402_53,0,0,0,0,Fail
GED202402_54,0,0,0,0,Fail
GED202402_55,0,0,0,0,Fail
GED202402_56,0,0,0,0,Fail
GED202402_57,0,0,0,0,Fail
GED202402_58,80,65,53.3,66.75,Pass
GED202402_59,48,80,83.3,69.8,Pass
GED202402_60,56,65,63.3,61.35,Pass
GED202402_61,82,90,63.3,79.2,Pass
GED202402_62,0,0,0,0,Fail
GED202402_63,60,0,0,21,Fail
GED202402_64,56,70,60,62.1,Pass
GED202402_65,62,75,70,68.95,Pass
GED202402_66,78,95,76.7,83.55,Pass
GED202402_67,46,90,70,68.6,Pass
GED202402_68,54,70,66.7,63.4,Pass
GED202402_69,0,0,0,0,Fail
GED202402_70,0,0,0,0,Fail
GED202402_71,0,0,0,0,Fail
GED202402_72,0,0,0,0,Fail
GED202402_73,66,80,73.3,73.1,Pass
GED202402_74,30,20,63.3,36.5,Fail
GED202402_75,0,0,0,0,Fail
GED202402_76,0,0,0,0,Fail
GED202402_77,0,0,0,0,Fail
GED202402_78,46,70,66.7,60.6,Pass
GED202402_79,40,90,6.7,47.5,Fail
GED202402_80,0,0,0,0,Fail
GED202402_81,50,80,70,66.5,Pass
GED202402_82,0,0,0,0,Fail
GED202402_83,0,0,0,0,Fail
GED202402_84,0,0,0,0,Fail
GED202402_85,64,95,70,76.65,Pass
GED202402_86,0,0,0,0,Fail
GED202402_87,0,0,0,0,Fail
GED202402_88,0,0,0,0,Fail
GED202402_89,0,0,0,0,Fail
GED202402_90,56,90,73.3,73.1,Pass
GED202402_91,70,80,66.7,72.5,Pass
GED202402_92,48,60,83.3,62.8,Pass
GED202402_93,60,70,66.7,65.5,Pass
GED202402_94,86,80,86.7,84.1,Pass
GED202402_95,0,0,0,0,Fail
GED202402_96,0,0,0,0,Fail
GED202402_97,0,0,0,0,Fail
GED202402_98,0,0,0,0,Fail
GED202402_99,0,0,0,0,Fail
GED202402_100,80,85,76.7,80.75,Pass
GED202402_101,58,80,83.3,73.3,Pass
GED202402_102,84,90,73.3,82.9,Pass
GED202402_103,64,90,10,56.9,Fail
GED202402_104,64,90,86.7,79.9,Pass
GED202402_105,0,0,0,0,Fail
,,,,52,
,,,,53,
