ID,DA_learnTools
WiT2023010018,Excel
WiT2023010018,Python
WiT2023010018,Tableau
Volunteer,Excel
Volunteer,Tableau
Volunteer,Power BI
WiT2023010073,Excel
WiT2023010073,Python
WiT2023010073,Tableau
WiT2023010073,Power BI
WiT2023010228,Excel
WiT2023010228,Tableau
Volunteer,Tableau
WiT2023010040,Tableau
Volunteer,Excel
WiT2023010103,Tableau
WiT2023010049,Excel
WiT2023010049,Python
WiT2023010049,Tableau
WiT2023010251,Excel
WiT2023010251,Python
WiT2023010251,Tableau
WiT2023010251,Google Data Studio
WiT2023010157,Python
WiT2023010157,Tableau
WiT2023010077,Python
Volunteer,Tableau
Volunteer,Excel
Volunteer,Python
Volunteer,Tableau
WiT2023010249,Python
WiT2023010249,Tableau
WiT2023010249,Power BI
WiT2023010249,Google Data Studio
WiT2023010180,Python
WiT2023010180,Tableau
Volunteer,Python
Volunteer,Tableau
WiT2023010158,Python
WiT2023010158,Tableau
Volunteer,Tableau
WiT2023010220,Python
WiT2023010220,Tableau
WiT2023010220,Power BI
Volunteer,Excel
Volunteer,Tableau
Volunteer,Excel
